JPEG Quality,No Filter,Gaussian,Median,Bilateral,Guided
10.0,0.3787,0.3199,0.3594,0.3586,0.7115
30.0,0.1705,0.2281,0.1736,0.1713,0.6021
50.0,0.1068,0.2094,0.1254,0.1204,0.5331
70.0,0.0664,0.2032,0.1067,0.0887,0.4530
90.0,0.0217,0.1968,0.0936,0.0589,0.2670
