JPEG Quality,No Filter,Gaussian,Median,Bilateral,Guided
10.0,30.7730,30.9951,30.9890,31.0547,28.2139
30.0,32.9745,32.2377,33.1410,33.4570,28.4605
50.0,34.1334,32.4819,33.9205,34.5412,28.6568
70.0,35.4859,32.5923,34.5520,35.6876,28.9593
90.0,39.9290,32.6954,35.3922,38.5822,29.7401
